Job Title,Job Company,Job Location,Salary Estimate,Company Rating,Company Rating Numbers,Company Size,Company Founded,Company Type,Company Industry,Company Sector,Company Revenue
"Senior Software Engineer, Backend","Metromile
4.4","San Francisco, CA",$126K - $200K (Glassdoor est.),"4.4
★★★★★",168,201 to 500 Employees,2011,Company - Public,Insurance Carriers,Insurance,Unknown / Non-Applicable
"Software Engineer, Core Infrastructure","Asana
4.9","San Francisco, CA",$114K - $219K (Glassdoor est.),"4.9
★★★★★",172,501 to 1000 Employees,2008,Company - Public,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
"Software Engineer, Frontend (Design Systems)","Asana
4.9","San Francisco, CA",$108K - $218K (Glassdoor est.),"4.9
★★★★★",172,501 to 1000 Employees,2008,Company - Public,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
Sr. Software Engineer,"Bigbear.ai
4.7","San Francisco, CA",$100K - $180K (Employer est.),"4.7
★★★★★",2,501 to 1000 Employees,2020,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable
Software Engineer,"Underdog.io
5.0","San Francisco, CA",$75K - $185K (Employer est.),"5.0
★★★★★",0,1 to 50 Employees,2014,Company - Private,Internet,Information Technology,Unknown / Non-Applicable
Full Stack Software Engineer (remote),"Indeed
4.3","San Francisco, CA",$171K - $247K (Employer est.),"4.3
★★★★★",703,10000+ Employees,2004,Company - Private,Internet,Information Technology,$2 to $5 billion (USD)
Senior Software Engineer,"Underdog.io
5.0","San Francisco, CA",$134K - $203K (Employer est.),"5.0
★★★★★",0,1 to 50 Employees,2014,Company - Private,Internet,Information Technology,Unknown / Non-Applicable
Front End Developer,"Underdog.io
5.0","San Francisco, CA",$88K - $192K (Employer est.),"5.0
★★★★★",0,1 to 50 Employees,2014,Company - Private,Internet,Information Technology,Unknown / Non-Applicable
Staff Software Engineer,"Indeed
4.3","San Francisco, CA",$207K - $301K (Employer est.),"4.3
★★★★★",703,10000+ Employees,2004,Company - Private,Internet,Information Technology,$2 to $5 billion (USD)
Frontend Staff Software Engineer - Jobseeker Profile,"Indeed
4.3","San Francisco, CA",$159K - $231K (Employer est.),"4.3
★★★★★",703,10000+ Employees,2004,Company - Private,Internet,Information Technology,$2 to $5 billion (USD)
Senior Software Engineer,"Indeed
4.3","San Francisco, CA",$132K - $192K (Employer est.),"4.3
★★★★★",703,10000+ Employees,2004,Company - Private,Internet,Information Technology,$2 to $5 billion (USD)
Software Developer (No Prior Experience Required),"Revature
4.1","San Francisco, CA",$90K - $199K (Glassdoor est.),"4.1
★★★★★",390,1001 to 5000 Employees,2003,Company - Private,IT Services,Information Technology,$100 to $500 million (USD)
Resume Platform – Staff Software Development Engineer,"Indeed
4.3","San Francisco, CA",$207K - $301K (Employer est.),"4.3
★★★★★",703,10000+ Employees,2004,Company - Private,Internet,Information Technology,$2 to $5 billion (USD)
Full Stack Developer,"Underdog.io
5.0","San Francisco, CA",$102K - $182K (Employer est.),"5.0
★★★★★",0,1 to 50 Employees,2014,Company - Private,Internet,Information Technology,Unknown / Non-Applicable
Software Engineer (Migration),"Odoo, Inc.
4.0","San Francisco, CA",$60K - $140K (Employer est.),"4.0
★★★★★",178,1001 to 5000 Employees,2005,Company - Private,Enterprise Software & Network Solutions,Information Technology,$25 to $50 million (USD)
Software Engineer (100% Remote),"The Mom Project
4.8","San Francisco, CA",$117 Per Hour(Employer est.),"4.8
★★★★★",24,51 to 200 Employees,2016,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable
Full Stack Software Engineer,"Artizen, Inc.
4.5","Alameda, CA",$98K - $193K (Glassdoor est.),"4.5
★★★★★",3,51 to 200 Employees,1991,Company - Private,Consulting,Business Services,$10 to $25 million (USD)
Software Engineer (AR/VR),"The World's Largest Social Network
4.1","Burlingame, CA",$70 - $79 Per Hour(Employer est.),"4.1
★★★★★",1,1 to 50 Employees,2012,Private Practice / Firm,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable
Salesforce Software Engineer,"Mercatalyst
3.7","San Francisco, CA",$92K - $159K (Glassdoor est.),"3.7
★★★★★",4,51 to 200 Employees,2013,Company - Private,Other Retail Stores,Retail,$10 to $25 million (USD)
Software Engineer - Computer Vision/3D Mapping,"Ursus
4.5","Burlingame, CA",$67K - $125K (Glassdoor est.),"4.5
★★★★★",18,51 to 200 Employees,2015,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable
Backend Software Engineer (100% Remote),"The Mom Project
4.8","San Francisco, CA",$88 Per Hour(Employer est.),"4.8
★★★★★",24,51 to 200 Employees,2016,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable
Staff Backend Software Engineer ( Remote ) ( Full-Time ),"Career Developers
5.0","San Francisco, CA",$180K - $200K (Employer est.),"5.0
★★★★★",0,1 to 50 Employees,,Company - Private,Staffing & Outsourcing,Business Services,Less than $1 million (USD)
Senior Software Engineer - Opportunity for growth!,"Specific Diagnostics
2.7","San Francisco, CA",$86K - $195K (Glassdoor est.),"2.7
★★★★★",0,1 to 50 Employees,,Company - Private,,,Unknown / Non-Applicable
Frontend Software Engineer ( Remote ) ( Full-Time ),"Career Developers
5.0","San Francisco, CA",$180K - $200K (Employer est.),"5.0
★★★★★",0,1 to 50 Employees,,Company - Private,Staffing & Outsourcing,Business Services,Less than $1 million (USD)
Software Engineer,"Epitec
3.7","Burlingame, CA",$80 - $90 Per Hour(Employer est.),"3.7
★★★★★",191,1001 to 5000 Employees,1978,Company - Private,Staffing & Outsourcing,Business Services,$100 to $500 million (USD)
Backend Engineer,"Tri-Search
4.3","San Francisco, CA",$130K - $250K (Employer est.),"4.3
★★★★★",10,51 to 200 Employees,2007,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable
Software Engineer (Java) - Remote,"Sky Systems Inc
4.3","San Francisco, CA",$91K - $162K (Glassdoor est.),"4.3
★★★★★",0,1 to 50 Employees,,Company - Private,,,$1 to $5 million (USD)
"Lead Software Engineer (REMOTE), Content Moderation","Glassdoor
4.0","San Francisco, CA",$195K (Employer est.),"4.0
★★★★★",188,501 to 1000 Employees,2007,Company - Private,Internet,Information Technology,Unknown / Non-Applicable
Software Developer for Neuroscience Startup,"Neurobehavioral Systems
4.0","Berkeley, CA",$100K - $140K (Employer est.),"4.0
★★★★★",0,1 to 50 Employees,,Company - Private,,,Unknown / Non-Applicable
Software Engineer,"Wework
3.6","San Francisco, CA",$102K - $173K (Glassdoor est.),"3.6
★★★★★",408,10000+ Employees,2010,Company - Private,Membership Organizations,Business Services,Unknown / Non-Applicable
Senior Front End Developer (Remote),"Charles Schwab
3.9",California,$101K - $165K (Employer est.),"3.9
★★★★★",1960,10000+ Employees,1973,Company - Public,Investment Banking & Asset Management,Finance,$10+ billion (USD)
Senior Software Engineer,Michael Page,"San Francisco, CA",$130K - $160K (Employer est.),-1,0,5001 to 10000 Employees,1976,Company - Private,,,$10+ billion (USD)
"UX Engineer, Front End, Early Career",Google,"San Francisco, CA",$89K - $208K (Glassdoor est.),"4.5
★★★★★",4665,10000+ Employees,1998,Company - Public,Internet,Information Technology,$10+ billion (USD)
Software Engineer - 21372,"Splunk
4.1","San Francisco, CA",$80K (Employer est.),"4.1
★★★★★",527,5001 to 10000 Employees,2003,Company - Public,Enterprise Software & Network Solutions,Information Technology,$1 to $2 billion (USD)
"Software Engineer (Frontend), Web Payment Experience","Square
4.2","San Francisco, CA",$98K - $196K (Glassdoor est.),"4.2
★★★★★",559,5001 to 10000 Employees,2009,Company - Public,Computer Hardware & Software,Information Technology,$1 to $2 billion (USD)
Front End Software Engineer,"Disney Streaming
3.3","San Francisco, CA",$94K - $178K (Glassdoor est.),"3.3
★★★★★",49,501 to 1000 Employees,2018,Company - Private,Internet,Information Technology,Unknown / Non-Applicable
Software Engineer (Frontend),Orbital Sidekick,"San Francisco, CA",$120K - $160K (Employer est.),-1,0,,,,,,
Senior Software Engineer,"Gap Inc.
3.7","San Francisco, CA",$110K - $204K (Glassdoor est.),"3.7
★★★★★",137,10000+ Employees,1969,Company - Public,"Department, Clothing, & Shoe Stores",Retail,$10+ billion (USD)
"Software Engineer, TikTok Backend",TikTok,"San Francisco, CA",$107K - $211K (Glassdoor est.),"3.6
★★★★★",123,501 to 1000 Employees,2016,Company - Private,Internet,Information Technology,Unknown / Non-Applicable
"Software Engineer, Quip","Slack
4.7","San Francisco, CA",$115K (Employer est.),"4.7
★★★★★",530,1001 to 5000 Employees,2014,Company - Public,Internet,Information Technology,Unknown / Non-Applicable
Software Engineer 1,"Dell Technologies
4.2","San Francisco, CA",$85K - $161K (Glassdoor est.),"4.2
★★★★★",5676,10000+ Employees,1984,Company - Public,IT Services,Information Technology,$10+ billion (USD)
"Software Engineer, Web","Niantic
3.6","San Francisco, CA",$103K - $198K (Glassdoor est.),"3.6
★★★★★",82,501 to 1000 Employees,2011,Company - Private,Video Games,Media,Unknown / Non-Applicable
"Senior Software Engineer, Square Console","Square
4.2","San Francisco, CA",$118K - $209K (Glassdoor est.),"4.2
★★★★★",559,5001 to 10000 Employees,2009,Company - Public,Computer Hardware & Software,Information Technology,$1 to $2 billion (USD)
