Job Title,Job Company,Job Location,Salary Estimate,Company Rating,Company Rating Numbers,Company Size,Company Founded,Company Type,Company Industry,Company Sector,Company Revenue
Backend Engineer,AgencyAnalytics,Toronto,CA$90K - CA$130K (Employer est.),-1,0,,,,,,
"Software Engineer (Backend NodeJS, Mongo DB)","Edkent Media
4.6",Toronto,CA$55K - CA$80K (Employer est.),"4.6
★★★★★",33,1 to 50 Employees,2014,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable
Software Engineer,MetiSign,Toronto,CA$60 - CA$72 Per Hour(Employer est.),-1,0,,,,,,
Software Engineer - MERN,"Avanciers Incorporated
4.0",Toronto,CA$70K - CA$122K (Glassdoor est.),"4.0
★★★★★",13,51 to 200 Employees,2015,Company - Private,IT Services,Information Technology,$10 to $25 million (USD)
Software Engineer,"Robert Half
3.8",Toronto,,"3.8
★★★★★",553,10000+ Employees,1948,Company - Public,Staffing & Outsourcing,Business Services,$5 to $10 billion (USD)
Software Engineer Intern (Summer 2022) - Toronto,"Coursera
3.9",Toronto,CA$121K - CA$133K (Glassdoor est.),"3.9
★★★★★",85,501 to 1000 Employees,2012,Company - Public,Colleges & Universities,Education,Unknown / Non-Applicable
Software & Data Engineer (Entry Level),"Jarvis
4.6",Toronto,CA$50K - CA$96K (Glassdoor est.),"4.6
★★★★★",0,51 to 200 Employees,,Company - Private,,,Unknown / Non-Applicable
Graduate Software Engineer,"Orion Health
3.6",Toronto,CA$82K - CA$102K (Glassdoor est.),"3.6
★★★★★",218,1001 to 5000 Employees,1993,Company - Private,Computer Hardware & Software,Information Technology,$100 to $500 million (USD)
Jr. Software Engineer,"TechGuilds
4.8",Toronto,CA$36K - CA$40K (Employer est.),"4.8
★★★★★",0,1 to 50 Employees,2014,Company - Private,Computer Hardware & Software,Information Technology,$1 to $5 million (USD)
"Software Engineer, Co-op (4 month term)","Finastra
3.8",Mississauga,CA$64K - CA$74K (Glassdoor est.),"3.8
★★★★★",615,10000+ Employees,2017,Company - Private,Financial Transaction Processing,Finance,$2 to $5 billion (USD)
software engineer,Zillnk Technology Inc,Toronto,CA$70K - CA$120K (Employer est.),-1,0,,,,,,
Entry Level Software Engineer,Enable,Toronto,CA$70K (Employer est.),-1,0,,,,,,
Software Developer (Entry Level),"Konrad
4.2",Toronto,CA$76K - CA$97K (Glassdoor est.),"4.2
★★★★★",0,201 to 500 Employees,2009,Company - Private,Consulting,Business Services,Unknown / Non-Applicable
Entry Level Software Engineer,"Avanade
4.2",Toronto,CA$60K - CA$120K (Glassdoor est.),"4.2
★★★★★",469,10000+ Employees,2000,Company - Private,IT Services,Information Technology,$2 to $5 billion (USD)
software engineer,Mayer Information Technology Inc.,North York,CA$47 Per Hour(Employer est.),-1,0,1 to 50 Employees,,Company - Private,IT Services,Information Technology,Less than $1 million (USD)
Software Engineer,Hextom,Toronto,CA$75K (Employer est.),-1,0,,,,,,
Associate Software Engineer,"Broadridge
3.7",Toronto,CA$72K - CA$80K (Glassdoor est.),"3.7
★★★★★",390,10000+ Employees,2007,Company - Public,Financial Transaction Processing,Finance,$5 to $10 billion (USD)
Node.js Developer (part-time),IT Consulting - Toronto,Etobicoke,CA$40 Per Hour(Employer est.),-1,0,,,,,,
Software Engineer,"FundThrough Inc.
4.4",Toronto,CA$86K - CA$112K (Glassdoor est.),"4.4
★★★★★",2,1 to 50 Employees,,Company - Private,,,Unknown / Non-Applicable
DevOps Engineer,IDENTOS INC.,Toronto,CA$85K (Employer est.),-1,0,,,,,,
Online High School Course Developer,Rutherford Private School,Vaughan,CA$30 - CA$40 Per Hour(Employer est.),-1,0,,,,,,
COBOL Developer - Mainframe,Ardor Cloud Solutions,Toronto,CA$60 - CA$103 Per Hour(Employer est.),-1,0,,,,,,
Junior Full Stack Developer,Alphabyte,Vaughan,CA$60K - CA$80K (Employer est.),-1,0,,,,,,
Microsoft SQL Developer,Ardor Cloud Solutions,Toronto,CA$50 Per Hour(Employer est.),-1,0,,,,,,
Intermediate Front-End Developer Intermediate Front-End Developer,Common Wealth Retirement,Toronto,CA$80K - CA$100K (Employer est.),-1,0,,,,,,
Front End Developer,OnFloors Inc,Mississauga,CA$70K - CA$100K (Employer est.),-1,0,,,,,,
Front End Developer,"Robert Half
3.8",Toronto,CA$30 - CA$44 Per Hour(Employer est.),"3.8
★★★★★",553,10000+ Employees,1948,Company - Public,Staffing & Outsourcing,Business Services,$5 to $10 billion (USD)
Graduate Software Engineer,"Orion Health
3.6",Toronto,CA$82K - CA$102K (Glassdoor est.),"3.6
★★★★★",218,1001 to 5000 Employees,1993,Company - Private,Computer Hardware & Software,Information Technology,$100 to $500 million (USD)
DevOps Engineer,"TELUS International
3.8",Midtown Toronto,CA$80 Per Hour(Employer est.),"3.8
★★★★★",269,10000+ Employees,,Company - Public,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
software engineer,"Unisystech Consulting inc.
3.7",North York,CA$120K - CA$140K (Employer est.),"3.7
★★★★★",0,51 to 200 Employees,2012,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable
Mainframe Developer - Cobol with Assembler,Large Canadian Bank,Toronto,CA$65 - CA$80 Per Hour(Employer est.),-1,0,,,,,,
Software Engineer,"Shorewise Consulting LLC
4.3",Mississauga,CA$46 Per Hour(Employer est.),"4.3
★★★★★",40,501 to 1000 Employees,2006,Company - Private,IT Services,Information Technology,$25 to $50 million (USD)
Node.js Developer (part-time),IT Consulting - Toronto,Etobicoke,CA$40 Per Hour(Employer est.),-1,0,,,,,,
Software Developer,Tonic Blooms,Toronto,CA$65K - CA$75K (Employer est.),-1,0,,,,,,
"Mid-Level Front End Software Engineer - Toronto, CAN",StudentUniverse,Toronto,CA$62K - CA$90K (Glassdoor est.),"3.7
★★★★★",0,51 to 200 Employees,2000,Company - Private,Travel Agencies,Travel & Tourism,$100 to $500 million (USD)
Software Developer,Tecium Designs Inc.,Toronto,CA$20 - CA$50 Per Hour(Employer est.),-1,0,,,,,,
DevOps Engineer,"iPartner Staffing
3.8",Toronto,CA$55 - CA$60 Per Hour(Employer est.),"3.8
★★★★★",0,51 to 200 Employees,,Company - Private,,,Unknown / Non-Applicable
ReactJS Developer,Stay Inc.,Toronto,CA$60K - CA$90K (Employer est.),-1,0,,,,,,
DevOps Engineer,IDENTOS INC.,Toronto,CA$85K (Employer est.),-1,0,,,,,,
Junior Full-Stack Developer/软件工程师,"SavvyPro Education Inc.
3.8",Toronto,CA$40K - CA$60K (Employer est.),"3.8
★★★★★",0,1 to 50 Employees,,Company - Private,,,Unknown / Non-Applicable
DevOps Engineer,Ardor Cloud Solutions,Toronto,CA$50 Per Hour(Employer est.),-1,0,,,,,,
Full Stack Developer,The DNA Company,Toronto,CA$55K - CA$125K (Employer est.),-1,0,,,,,,
Web Developer,Transmission Media Inc. (Data Front),Toronto,CA$80K - CA$100K (Employer est.),-1,0,,,,,,
Associate Software Developer,Hire Intellect,Toronto,CA$80K - CA$100K (Glassdoor est.),-1,0,Unknown,,Company - Public,,,Unknown / Non-Applicable
Graduate Software Engineer,"Orion Health
3.6",Toronto,CA$82K - CA$102K (Glassdoor est.),"3.6
★★★★★",218,1001 to 5000 Employees,1993,Company - Private,Computer Hardware & Software,Information Technology,$100 to $500 million (USD)
Software Engineer - Accelerate-TORONTO-Associate,"Goldman Sachs
4.0",Toronto,CA$116K - CA$151K (Glassdoor est.),"4.0
★★★★★",1697,10000+ Employees,1869,Company - Public,Investment Banking & Asset Management,Finance,$10+ billion (USD)
DevOps Software Engineer,AIR MILES,Toronto,CA$82K - CA$115K (Glassdoor est.),"3.5
★★★★★",7,501 to 1000 Employees,1992,Company - Private,Advertising & Marketing,Business Services,$1 to $2 billion (USD)
Software Engineer,"Shorewise Consulting LLC
4.3",Mississauga,CA$46 Per Hour(Employer est.),"4.3
★★★★★",40,501 to 1000 Employees,2006,Company - Private,IT Services,Information Technology,$25 to $50 million (USD)
Embedded Software V&V Engineer,"Aversan Inc
3.1",Toronto,CA$50 Per Hour(Employer est.),"3.1
★★★★★",35,201 to 500 Employees,2004,Company - Private,Aerospace & Defense,Aerospace & Defense,Unknown / Non-Applicable
Software Simulation Engineer,"Bakker Tailored Staffing
5.0",Markham,CA$43 - CA$49 Per Hour(Employer est.),"5.0
★★★★★",0,51 to 200 Employees,2009,Company - Public,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable
Node.js Developer (part-time),IT Consulting - Toronto,Etobicoke,CA$40 Per Hour(Employer est.),-1,0,,,,,,
Software Engineer,"FundThrough Inc.
4.4",Toronto,CA$86K - CA$112K (Glassdoor est.),"4.4
★★★★★",2,1 to 50 Employees,,Company - Private,,,Unknown / Non-Applicable
Software Developer,Tecium Designs Inc.,Toronto,CA$20 - CA$50 Per Hour(Employer est.),-1,0,,,,,,
Java Developer,IDENTOS INC.,Toronto,CA$70K (Employer est.),-1,0,,,,,,
DevOps Engineer,IDENTOS INC.,Toronto,CA$85K (Employer est.),-1,0,,,,,,
Specialized Developer - Banking & Finance,"Swoon Group
4.2",Toronto,CA$80 - CA$90 Per Hour(Employer est.),"4.2
★★★★★",100,51 to 200 Employees,2010,Company - Private,Staffing & Outsourcing,Business Services,$50 to $100 million (USD)
DevOps Engineer,Ardor Cloud Solutions,Toronto,CA$50 Per Hour(Employer est.),-1,0,,,,,,
DevOps Engineer,"spaice
2.0",Markham,CA$55K (Employer est.),"2.0
★★★★★",0,Unknown,,Company - Private,,,Unknown / Non-Applicable
Junior DevOps Engineer (Azure exp. required),"XiBOSS Corporation
4.2",Toronto,CA$75K - CA$101K (Glassdoor est.),"4.2
★★★★★",2,1 to 50 Employees,2002,Company - Private,Staffing & Outsourcing,Business Services,$5 to $10 million (USD)
Full Stack Engineer - Ruby on Rails,CyberCoders,Toronto,CA$120K - CA$150K (Employer est.),"4.1
★★★★★",52,201 to 500 Employees,1999,Subsidiary or Business Segment,Staffing & Outsourcing,Business Services,$100 to $500 million (USD)
Associate Software Developer,Hire Intellect,Toronto,CA$80K - CA$100K (Glassdoor est.),-1,0,Unknown,,Company - Public,,,Unknown / Non-Applicable
Software Engineer,"eTeam Inc
4.1",Markham,CA$32 Per Hour(Employer est.),"4.1
★★★★★",286,51 to 200 Employees,1999,Company - Private,Staffing & Outsourcing,Business Services,$50 to $100 million (USD)
Int - Senior DevOps Engineer - Linux AWS - $95k - $115K base - Toronto,"CorGTA Inc.
5.0",Toronto,CA$95K - CA$115K (Employer est.),"5.0
★★★★★",0,1 to 50 Employees,,Company - Private,,,Unknown / Non-Applicable
Data Science Engineer/ Machine Learning Engineer / Data Science Developer,"Staffmax
4.0",Mississauga,CA$120K - CA$160K (Employer est.),"4.0
★★★★★",0,201 to 500 Employees,2007,Company - Private,Staffing & Outsourcing,Business Services,$10 to $25 million (USD)
